KURUM,YIL,LINK
ANKARA ÇANKAYA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2917-ankara-cankaya-belediyesi
ANKARA ÇUBUK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2918-ankara-cubuk-belediyesi
ANKARA ELEKTRİK HAVAGAZI VE OTOBÜS İŞLETME MÜESSESESİ GENEL MÜDÜRLÜĞÜ (EGO),2018,https://www.sayistay.gov.tr/reports/download/2919-ankara-elektrik-havagazi-ve-otobus-islet
ANKARA ETİMESGUT BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2920-ankara-etimesgut-belediyesi
ANKARA GÖLBAŞI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2921-ankara-golbasi-belediyesi
ANKARA KAHRAMANKAZAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2922-ankara-kahramankazan-belediyesi
ANKARA KEÇİÖREN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2923-ankara-kecioren-belediyesi
ANKARA KIZILCAHAMAM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2924-ankara-kizilcahamam-belediyesi
ANKARA MAMAK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2925-ankara-mamak-belediyesi
ANKARA POLATLI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2926-ankara-polatli-belediyesi
ANKARA PURSAKLAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2927-ankara-pursaklar-belediyesi
ANKARA SİNCAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2928-ankara-sincan-belediyesi
ANKARA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (ASKİ),2018,https://www.sayistay.gov.tr/reports/download/2929-ankara-su-ve-kanalizasyon-idaresi-genel
ANKARA YENİMAHALLE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2930-ankara-yenimahalle-belediyesi
ANTALYA AKSU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2931-antalya-aksu-belediyesi
ANTALYA ALANYA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2932-antalya-alanya-belediyesi
ANTALYA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2933-antalya-buyuksehir-belediyesi
ANTALYA DÖŞEMEALTI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2934-antalya-dosemealti-belediyesi
ANTALYA KAŞ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2935-antalya-kas-belediyesi
ANTALYA KEMER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2936-antalya-kemer-belediyesi
ANTALYA KEPEZ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2937-antalya-kepez-belediyesi
ANTALYA KONYAALTI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2938-antalya-konyaalti-belediyesi
ANTALYA MANAVGAT BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2939-antalya-manavgat-belediyesi
ANTALYA MURATPAŞA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2940-antalya-muratpasa-belediyesi
ANTALYA SERİK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2941-antalya-serik-belediyesi
ANTALYA SU VE ATIK SU İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/2942-antalya-su-ve-atik-su-idaresi-genel-mudu
AYDIN BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/2943-aydin-buyuksehir-belediyesi-su-ve-kanali
AYDIN BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2944-aydin-buyuksehir-belediyesi
AYDIN DİDİM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2945-aydin-didim-belediyesi
AYDIN EFELER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2946-aydin-efeler-belediyesi
AYDIN KUŞADASI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2947-aydin-kusadasi-belediyesi
AYDIN SÖKE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2948-aydin-soke-belediyesi
BALÇOVA TERMAL TURİZM VE OTELCİLİK TİC. A.Ş.,2018,https://www.sayistay.gov.tr/reports/download/2949-balcova-termal-turizm-ve-otelcilik-tic-a
BALIKESİR AYVALIK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2950-balikesir-ayvalik-belediyesi
BALIKESİR BANDIRMA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2951-balikesir-bandirma-belediyesi
BALIKESİR BURHANİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2952-balikesir-burhaniye-belediyesi
BALIKESİR BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2953-balikesir-buyuksehir-belediyesi
BALIKESİR EDREMİT BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2954-balikesir-edremit-belediyesi
BALIKESİR ERDEK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2955-balikesir-erdek-belediyesi
BARTIN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2956-bartin-belediyesi
BATMAN GERCÜŞ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2957-batman-gercus-belediyesi
BATMAN HASANKEYF BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2958-batman-hasankeyf-belediyesi
BATMAN SASON BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2959-batman-sason-belediyesi
BİLECİK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2960-bilecik-belediyesi
BİNGÖL GENÇ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2961-bingol-genc-belediyesi
BİTLİS AHLAT BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2962-bitlis-ahlat-belediyesi
BİTLİS HİZAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2963-bitlis-hizan-belediyesi
BİTLİS TATVAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2964-bitlis-tatvan-belediyesi
BURSA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2965-bursa-buyuksehir-belediyesi
BURSA GÜRSU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2966-bursa-gursu-belediyesi
BURSA KESTEL BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2967-bursa-kestel-belediyesi
BURSA MUDANYA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2968-bursa-mudanya-belediyesi
BURSA NİLÜFER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2969-bursa-nilufer-belediyesi
BURSA OSMANGAZİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2970-bursa-osmangazi-belediyesi
BURSA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (BUSKİ),2018,https://www.sayistay.gov.tr/reports/download/2971-bursa-su-ve-kanalizasyon-idaresi-genel-m
ÇANAKKALE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2972-canakkale-belediyesi
ÇORUM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2973-corum-belediyesi
DENİZLİ BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/2974-denizli-buyuksehir-belediyesi-su-ve-kana
DENİZLİ BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2975-denizli-buyuksehir-belediyesi
DENİZLİ MERKEZEFENDİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2976-denizli-merkezefendi-belediyesi
DENİZLİ PAMUKKALE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2977-denizli-pamukkale-belediyesi
DİYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2978-diyarbakir-buyuksehir-belediyesi
EDİRNE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2979-edirne-belediyesi
ERZURUM BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2980-erzurum-buyuksehir-belediyesi
ERZURUM YAKUTİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2981-erzurum-yakutiye-belediyesi
ESKİŞEHİR BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2982-eskisehir-buyuksehir-belediyesi
ESKİŞEHİR TEPEBAŞI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2983-eskisehir-tepebasi-belediyesi
GAZİANTEP BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2984-gaziantep-buyuksehir-belediyesi
GAZİANTEP SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/2985-gaziantep-su-ve-kanalizasyon-idaresi-gen
GİRESUN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2986-giresun-belediyesi
GİRESUN BULANCAK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2987-giresun-bulancak-belediyesi
HAKKARİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2988-hakkari-belediyesi
HAKKARİ YÜKSEKOVA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2989-hakkari-yuksekova-belediyesi
HATAY ANTAKYA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2990-hatay-antakya-belediyesi
HATAY BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2991-hatay-buyuksehir-belediyesi
ISPARTA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2992-isparta-belediyesi
ISPARTA EĞİRDİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2993-isparta-egirdir-belediyesi
İSTANBUL ADALAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2994-istanbul-adalar-belediyesi
İSTANBUL ATAŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2995-istanbul-atasehir-belediyesi
İSTANBUL AVCILAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2996-istanbul-avcilar-belediyesi
İSTANBUL BAĞCILAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2997-istanbul-bagcilar-belediyesi
İSTANBUL BAHÇELİEVLER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2998-istanbul-bahcelievler-belediyesi
İSTANBUL BAŞAKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/2999-istanbul-basaksehir-belediyesi
İSTANBUL BAYRAMPAŞA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3000-istanbul-bayrampasa-belediyesi
İSTANBUL BEYKOZ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3001-istanbul-beykoz-belediyesi
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ BELBİM A.Ş. -ELEKTRONİK PARA VE ÖDEME HİZMETLERİ A.Ş.,2018,https://www.sayistay.gov.tr/reports/download/3002-istanbul-buyuksehir-belediyesi-belbim-as
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ İ.ENERJİ A.Ş.-İSTANBUL ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,2018,https://www.sayistay.gov.tr/reports/download/3003-istanbul-buyuksehir-belediyesi-ienerji-a
İSTANBUL BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3004-istanbul-buyuksehir-belediyesi
İSTANBUL ÇATALCA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3005-istanbul-catalca-belediyesi
İSTANBUL ESENYURT BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3006-istanbul-esenyurt-belediyesi
İSTANBUL EYÜPSULTAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3007-istanbul-eyupsultan-belediyesi
İSTANBUL KARTAL BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3008-istanbul-kartal-belediyesi
İSTANBUL SANCAKTEPE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3009-istanbul-sancaktepe-belediyesi
İSTANBUL SARIYER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3010-istanbul-sariyer-belediyesi
İSTANBUL SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (İSKİ),2018,https://www.sayistay.gov.tr/reports/download/3011-istanbul-su-ve-kanalizasyon-idaresi-gene
İSTANBUL ŞİŞLİ BELEDİYESİ KENT-YOL A.Ş.,2018,https://www.sayistay.gov.tr/reports/download/3012-istanbul-sisli-belediyesi-kent-yol-as
İSTANBUL ŞİŞLİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3013-istanbul-sisli-belediyesi
İSTANBUL ÜMRANİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3014-istanbul-umraniye-belediyesi
İSTANBUL ZEYTİNBURNU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3015-istanbul-zeytinburnu-belediyesi
İZMİR BALÇOVA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3016-izmir-balcova-belediyesi
İZMİR BAYRAKLI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3017-izmir-bayrakli-belediyesi
İZMİR BORNOVA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3018-izmir-bornova-belediyesi
İZMİR BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3019-izmir-buyuksehir-belediyesi
İZMİR ÇEŞME BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3020-izmir-cesme-belediyesi
İZMİR DİKİLİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3021-izmir-dikili-belediyesi
İZMİR GAZİEMİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3022-izmir-gaziemir-belediyesi
İZMİR GÜZELBAHÇE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3023-izmir-guzelbahce-belediyesi
İZMİR KARŞIYAKA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3024-izmir-karsiyaka-belediyesi
İZMİR KEMALPAŞA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3025-izmir-kemalpasa-belediyesi
İZMİR KONAK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3026-izmir-konak-belediyesi
İZMİR MENDERES BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3027-izmir-menderes-belediyesi
İZMİR NARLIDERE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3028-izmir-narlidere-belediyesi
İZMİR SEFERİHİSAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3029-izmir-seferihisar-belediyesi
İZMİR SELÇUK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3030-izmir-selcuk-belediyesi
İZMİR URLA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3031-izmir-urla-belediyesi
KAHRAMANMARAŞ BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3032-kahramanmaras-buyuksehir-belediyesi
KARAMAN ERMENEK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3033-karaman-ermenek-belediyesi
KARS BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3034-kars-belediyesi
KASTAMONU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3035-kastamonu-belediyesi
KAYSERİ BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3036-kayseri-buyuksehir-belediyesi
KIRŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3037-kirsehir-belediyesi
KOCAELİ BAŞİSKELE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3038-kocaeli-basiskele-belediyesi
KOCAELİ BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3039-kocaeli-buyuksehir-belediyesi
KOCAELİ DARICA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3040-kocaeli-darica-belediyesi
KOCAELİ DERİNCE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3041-kocaeli-derince-belediyesi
KOCAELİ GEBZE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3042-kocaeli-gebze-belediyesi
KOCAELİ KARAMÜRSEL BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3043-kocaeli-karamursel-belediyesi
KONYA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3044-konya-buyuksehir-belediyesi
KONYA KARATAY BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3045-konya-karatay-belediyesi
KONYA MERAM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3046-konya-meram-belediyesi
KONYA SELÇUKLU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3047-konya-selcuklu-belediyesi
KÜTAHYA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3048-kutahya-belediyesi
MALATYA BATTALGAZİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3049-malatya-battalgazi-belediyesi
MALATYA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3050-malatya-buyuksehir-belediyesi
MANİSA BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/3051-manisa-buyuksehir-belediyesi-su-ve-kanal
MANİSA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3052-manisa-buyuksehir-belediyesi
MANİSA ŞEHZADELER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3053-manisa-sehzadeler-belediyesi
MANİSA YUNUSEMRE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3054-manisa-yunusemre-belediyesi
MARDİN BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3055-mardin-buyuksehir-belediyesi
MARDİN KIZILTEPE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3056-mardin-kiziltepe-belediyesi
MERSİN AKDENİZ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3057-mersin-akdeniz-belediyesi
MERSİN BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3058-mersin-buyuksehir-belediyesi
MERSİN ERDEMLİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3059-mersin-erdemli-belediyesi
MERSİN MEZİTLİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3060-mersin-mezitli-belediyesi
MERSİN YENİŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3061-mersin-yenisehir-belediyesi
MUĞLA BODRUM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3062-mugla-bodrum-belediyesi
MUĞLA BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2018,https://www.sayistay.gov.tr/reports/download/3063-mugla-buyuksehir-belediyesi-su-ve-kanali
MUĞLA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3064-mugla-buyuksehir-belediyesi
MUĞLA DALAMAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3065-mugla-dalaman-belediyesi
MUĞLA DATÇA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3066-mugla-datca-belediyesi
MUĞLA FETHİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3067-mugla-fethiye-belediyesi
MUĞLA KÖYCEĞİZ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3068-mugla-koycegiz-belediyesi
MUĞLA MARMARİS BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3069-mugla-marmaris-belediyesi
NEVŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3070-nevsehir-belediyesi
NEVŞEHİR KOZAKLI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3071-nevsehir-kozakli-belediyesi
NİĞDE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3072-nigde-belediyesi
ORDU ALTINORDU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3073-ordu-altinordu-belediyesi
ORDU BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3074-ordu-buyuksehir-belediyesi
ORDU FATSA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3075-ordu-fatsa-belediyesi
ORDU ÜNYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3076-ordu-unye-belediyesi
OSMANİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3077-osmaniye-belediyesi
RİZE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3078-rize-belediyesi
SAKARYA ADAPAZARI BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3079-sakarya-adapazari-belediyesi
SAKARYA ARİFİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3080-sakarya-arifiye-belediyesi
SAKARYA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3081-sakarya-buyuksehir-belediyesi
SAKARYA ERENLER BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3082-sakarya-erenler-belediyesi
SAKARYA KARASU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3083-sakarya-karasu-belediyesi
SAKARYA SAPANCA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3084-sakarya-sapanca-belediyesi
SAKARYA SERDİVAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3085-sakarya-serdivan-belediyesi
SAMSUN ATAKUM BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3086-samsun-atakum-belediyesi
SAMSUN BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3087-samsun-buyuksehir-belediyesi
SİİRT ŞİRVAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3088-siirt-sirvan-belediyesi
SİNOP BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3089-sinop-belediyesi
ŞANLIURFA BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3090-sanliurfa-buyuksehir-belediyesi
ŞANLIURFA EYYÜBİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3091-sanliurfa-eyyubiye-belediyesi
ŞANLIURFA HALİLİYE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3092-sanliurfa-haliliye-belediyesi
ŞIRNAK BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3093-sirnak-belediyesi
ŞIRNAK CİZRE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3094-sirnak-cizre-belediyesi
TARİHİ KENTLER BİRLİĞİ,2018,https://www.sayistay.gov.tr/reports/download/3095-tarihi-kentler-birligi
TEKİRDAĞ BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3096-tekirdag-buyuksehir-belediyesi
TRABZON BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3097-trabzon-buyuksehir-belediyesi
TRABZON ORTAHİSAR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3098-trabzon-ortahisar-belediyesi
TUNCELİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3099-tunceli-belediyesi
VAN BAŞKALE BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3100-van-baskale-belediyesi
VAN BÜYÜKŞEHİR BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3101-van-buyuksehir-belediyesi
VAN ÇALDIRAN BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3102-van-caldiran-belediyesi
VAN ÖZALP BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3103-van-ozalp-belediyesi
VİLAYETLER BİRLİĞİ,2018,https://www.sayistay.gov.tr/reports/download/3104-vilayetler-birligi
VİLAYETLER TURİZM VE TİCARET A.Ş.,2018,https://www.sayistay.gov.tr/reports/download/3105-vilayetler-turizm-ve-ticaret-as
YALOVA BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3106-yalova-belediyesi
ZONGULDAK KARADENİZ EREĞLİ BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3107-zonguldak-karadeniz-eregli-belediyesi
ZONGULDAK KOZLU BELEDİYESİ,2018,https://www.sayistay.gov.tr/reports/download/3108-zonguldak-kozlu-belediyesi
ADANA BÜYÜKŞEHİR BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2722-adana-buyuksehir-belediyesi
ADANA BÜYÜKŞEHİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2017,https://www.sayistay.gov.tr/reports/download/2723-adana-buyuksehir-su-ve-kanalizasyon-idar
ADANA CEYHAN BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2724-adana-ceyhan-belediyesi
ADANA SARIÇAM BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2725-adana-saricam-belediyesi
AFYONKARAHİSAR BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2726-afyonkarahisar-belediyesi
AĞRI BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2727-agri-belediyesi
ANKARA ALTINDAĞ BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2728-ankara-altindag-belediyesi
ANKARA AYAŞ BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2729-ankara-ayas-belediyesi
ANKARA BÜYÜKŞEHİR BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2730-ankara-buyuksehir-belediyesi
ANKARA ÇANKAYA BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2731-ankara-cankaya-belediyesi
ANKARA ELEKTRİK HAVAGAZI VE OTOBÜS İŞLETME MÜESSESESİ GENEL MÜDÜRLÜĞÜ (EGO),2017,https://www.sayistay.gov.tr/reports/download/2732-ankara-elektrik-havagazi-ve-otobus-islet
ANKARA ETİMESGUT BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2733-ankara-etimesgut-belediyesi
ANKARA GÖLBAŞI BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2734-ankara-golbasi-belediyesi
ANKARA KEÇİÖREN BELEDİYESİ,2017,https://www.sayistay.gov.tr/reports/download/2735-ankara-kecioren-belediyesi
