KURUM,YIL,LINK
BALIKESİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (BASKİ),2020,https://www.sayistay.gov.tr/reports/download/3798-balikesir-su-ve-kanalizasyon-idaresi-gen
BALIKESİR SUSURLUK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3799-balikesir-susurluk-belediyesi
BARTIN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3800-bartin-belediyesi
BATMAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3801-batman-belediyesi
BAYBURT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3802-bayburt-belediyesi
BELDETAŞ BELDE SAĞLIK SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3803-beldetas-belde-saglik-sanayi-ve-ticaret
BELKA ANKARA KATI ATIKLARI AYIKLAMA ENERJİ DEĞERLENDİRME BİLGİSAYAR İNŞAAT NAKLİYAT VE TAAHHÜT YEMEK SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3804-belka-ankara-kati-atiklari-ayiklama-ener
BEYOĞLU DÖNÜŞÜM KONUT İMAR PLAN TURİZM PERSONEL SANAYİ TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3805-beyoglu-donusum-konut-imar-plan-turizm-p
BOLU BEL SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3806-bolu-bel-sanayi-ve-ticaret-anonim-sirket
BOLU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3807-bolu-belediyesi
BURDUR AKARYAKIT HİZMETLERİ PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ BAHTAŞ,2020,https://www.sayistay.gov.tr/reports/download/3808-burdur-akaryakit-hizmetleri-pazarlama-sa
BURDUR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3809-burdur-belediyesi
BURSA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3810-bursa-buyuksehir-belediyesi
BURSA GEMLİK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3811-bursa-gemlik-belediyesi
BURSA İNEGÖL BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3812-bursa-inegol-belediyesi
BURSA NİLÜFER BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3813-bursa-nilufer-belediyesi
BURSA ORHANGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3814-bursa-orhangazi-belediyesi
BURSA OSMANGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3815-bursa-osmangazi-belediyesi
BURSA YILDIRIM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3816-bursa-yildirim-belediyesi
BURULAŞ- BURSA ULAŞIM TOPLU TAŞIM İŞLETMECİLİĞİ TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3817-burulas--bursa-ulasim-toplu-tasim-isletm
ÇANAKKALE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3818-canakkale-belediyesi
ÇORUM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3819-corum-belediyesi
ÇORUM SUNGURLU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3820-corum-sungurlu-belediyesi
ÇORUM UĞURLUDAĞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3821-corum-ugurludag-belediyesi
DENİZLİ BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3822-denizli-buyuksehir-belediyesi-su-ve-kana
DENİZLİ BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3823-denizli-buyuksehir-belediyesi
DENİZLİ PAMUKKALE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3824-denizli-pamukkale-belediyesi
DİYARBAKIR BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3825-diyarbakir-buyuksehir-belediyesi
DİYARBAKIR YENİŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3826-diyarbakir-yenisehir-belediyesi
EDİRNE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3827-edirne-belediyesi
ELAZIĞ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3828-elazig-belediyesi
ERZURUM BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3829-erzurum-buyuksehir-belediyesi
ERZURUM YAKUTİYE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3830-erzurum-yakutiye-belediyesi
ESENLİK İMAR İNŞAAT VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3831-esenlik-imar-insaat-ve-ticaret-anonim-si
ESKİŞEHİR BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3832-eskisehir-buyuksehir-belediyesi
ESKİŞEHİR İMAR İNŞAAT VE TİCARET A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3833-eskisehir-imar-insaat-ve-ticaret-as
ESKİŞEHİR ODUNPAZARI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3834-eskisehir-odunpazari-belediyesi
ESKİŞEHİR PAZARLAMA İŞLETMECİLİK ORG. KİTLE İLETİŞİM HİZMETLERİ TURİZM TAŞIMACILIK VE TİCARET A.Ş. ESPAŞ,2020,https://www.sayistay.gov.tr/reports/download/3835-eskisehir-pazarlama-isletmecilik-org-kit
ESKİŞEHİR SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3836-eskisehir-su-ve-kanalizasyon-idaresi-gen
ESKİŞEHİR TEPEBAŞI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3837-eskisehir-tepebasi-belediyesi
FETHİYE BELEDİYE HİZMETLERİ TURİZM VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3838-fethiye-belediye-hizmetleri-turizm-ve-ti
GAZİANTEP BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3839-gaziantep-buyuksehir-belediyesi
GAZİANTEP SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3840-gaziantep-su-ve-kanalizasyon-idaresi-gen
GAZİANTEP ŞAHİNBEY BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3841-gaziantep-sahinbey-belediyesi
HATAY ANTAKYA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3842-hatay-antakya-belediyesi
HATAY BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3843-hatay-buyuksehir-belediyesi
